Wärmebrücke,Zusatzinfo Wärmebrücke,Bezeichnung,Psi-Wert,mit Referenzbauteil,ebz,W&P,VHAG,Datum,Nr.,BV,Name,Farbe,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm037-Stb-D18(19)_AW44-V-15PPW2-160mm035-F1,49",0.2993,,,,X,28.03.2014,204,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm037-Stb-D18(19)_AW44-V-15PPW4-160mm032-F0,74_6cm Foamglas 052",0.1971,,,,X,30.03.2017,1114,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm037-Stb-D20(19)_AW44-P-15PPW2-160mm032-F0,86_6cm Foamglas 052",0.2126,,,,X,01.06.2017,1225,,,light orange,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm037-Stb-D20(19)_AW44-V-15PPW2-160mm032_ACO_5cm Foamglas 058_REF,0.1654,X,,,X,26.04.2023,2560,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm037-Stb-D20(19)_AW44-V-15PPW2-160mm032-F0,74-6cm Foamglas 052",0.1985,,,,X,09.06.2017,1236,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm037-Stb-D20(19)_AW44-V-15PPW2-160mm032-F0,86-6cm Foamglas 052",0.1885,,,,X,08.06.2017,1234,,,light orange,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm037-Stb-D22(19)_AW44-V-15PPW2-160mm032_ACO_11,5cm Foamglas 058_REF",0.1153,X,,,X,06.11.2023,2600,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm037-Stb-D24(14)_AW44-V-15PPW2-160mm035-F0,86_6cm Foamglas 052_Ausgleichsstein PPW 4",0.2055,,,,X,12.02.2019,1701,,,light blue,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm037-Stb-D24(19)_AW44-V-15PPW2-160mm032-F0,86_6cm Foamglas 052",0.2791,,,,X,07.11.2017,1340,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm037-Stb-D24(19)_AW44-V-15PPW2-160mm032_ACO_5cm Foamglas 058_REF,0.1730,X,,,X,22.09.2022,2485,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm037-Stb-D24(19)_AW44-V-15PPW4-160mm032_ACO Therm Block 140mm025_6 cm Foamglas 052_REF,0.1647,X,,,X,30.08.2021,2257,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm037-Stb-D30(19)_AW44-V-15PPW2-160mm032_F0,86_6cm Foamglas 052",0.2084,,,,X,13.12.2019,1913,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm037-Stb-D28(19)_AW44-P-15PPW2-160mm032-F0,86_6cm Foamglas 052",0.2130,,,,X,10.11.2017,1358,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm039-Stb-D18(19)_AW44-P-15PPW2-160mm032-F0,86_6cm Foamglas 052",0.2145,,,,X,22.05.2017,1210,,,light orange,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm039-Stb-D18(19)_AW44-P-15PPW2-160mm035-F0,74_6cm Foamglas 052",0.2033,,,,X,21.04.2017,1150,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm039-Stb-D18(19)_AW44-P-15PPW2-160mm035-F0,86_6cm Foamglas 052",0.2117,,,,X,27.06.2017,1264,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm039-Stb-D18(19)_AW44-V-15PPW2-160mm032-F0,86_6cm Foamglas 052",0.2080,,,,X,05.04.2018,1473,85734,Voth,light yellow,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm041-Stb-D18(19)_AW44-P-15PPW2-160mm035-F0,74_25cm Sturzhöhe_6cm Foamglas 052",0.2729,,,,X,28.01.2018,1431,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm041-Stb-D18(19)_AW44-P-15PPW2-160mm035-F0,74_6cm Foamglas 052",0.2059,,,,X,16.05.2017,1193,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm041-Stb-D18(19)_AW44-V-15PPW2-160mm032-F0,74_6cm Foamglas 052",0.2018,,,,X,12.05.2017,1187,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm041-Stb-D18(19)_AW44-V-15PPW2-160mm032-F0,86-6cm Foamglas 052",0.2101,,,,X,19.06.2017,1253,,,light orange,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D18(19)_AW44-P-15PPW2-160mm032-F0,86_6cm Foamglas 052",0.2155,,,,X,19.03.2018,1461,85727,Raabe,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm042-Stb-D18(19)_AW44-V-15PPW2-160mm032_ACO Therm Block 140mm025_5 cm Foamglas 058_REF,0.1735,X,,,X,23.02.2022,2393,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm042-Stb-D18(19)_AW44-V-15PPW2-160mm035_ACO Therm Block 140mm025_5 cm Foamglas 058_REF,0.1707,X,,,X,08.02.2023,2541,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm042-Stb-D18(19)_AW44-V-15PPW2-160mm032_ACO Therm Block 140mm025_6 cm Foamglas 052_REF,0.1570,X,,,X,26.05.2021,2182,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D18(19)_AW44-V-15PPW2-160mm032_ACO Therm Block 140mm025_11,5cm Foamglas 058_REF",0.1185,X,,,X,01.02.2022,2375,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm042-Stb-D18(19)_AW44-V-15PPW2-160mm032_ACO Therm Block 140mm025_12cm Foamglas 058_REF,0.1185,X,,,X,23.11.2021,2337,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm042-15PPW4-Stb-D18(19)_AW44-V-15PPW2-160mm032_ACO Therm Block 140mm025_6 cm Foamglas 052_REF,0.1515,X,,,X,26.05.2021,2182,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D18(19)_AW44-V-15PPW2-160mm032-F0,74_10cm Foamglas 052",0.1525,,,,X,24.08.2016,857,84738,Nagel,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D18(19)_AW44-V-15PPW2-160mm032-F0,74_6cm Foamglas 052",0.1844,,,,X,19.08.2016,853,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D18(19)_AW44-V-15PPW2-160mm032-F0,86_6cm Foamglas 052",0.2110,,,,X,28.06.2017,1269,,,light orange,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D18(19)_AW44-V-15PPW2-160mm032-F1,0_6cm Foamglas 052",0.2103,,,,X,01.07.2019,1807,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D18(19)_AW53-V-24PPW6-160mm032-F0,74_10cm Foamglas 052",0.1525,,,,X,24.08.2016,857,84738,Nagel,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm042-Stb-D20(19)_AW44-P-15PPW2-160mm032_ACO Therm Block 140mm025_5 cm Foamglas 058_REF,0.1758,X,,,X,03.02.2022,2378,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm042-Stb-D20(19)_AW44-V-15PPW2-160mm032_ACO Therm Block 140mm025_5 cm Foamglas 058_REF,0.1753,X,,,X,04.03.2022,2399,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm042-Stb-D20(19)_AW44-V-15PPW2-160mm032_ACO Therm Block 140mm025_10cm Foamglas 052_REF,0.1366,X,,,X,17.05.2021,2174,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D20(19)_AW44-V-15PPW2-160mm032_ACO Therm Block 140mm025_11,5cm Foamglas 058_REF",0.1192,X,,,X,23.02.2022,2392,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D20(19)_AW44-V-15PPW2-160mm032_F1,0_10cm Foamglas 052",0.1758,,,,X,19.05.2020,1988,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm042-Stb-D22(19)_AW44-V-15PPW2-160mm032_ACO Therm Block 140mm025_6 cm Foamglas 052_REF,0.1599,X,,,X,07.07.2021,2216,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D22(19)_AW44-V-15PPW2-160mm032_F0,86_6 cm Foamglas 052_Ausgleichsstein PPW 4",0.1950,,,,X,26.10.2020,2049,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D22(19)_AW44-P-15PPW6-160mm032_ACO Therm Block 140mm025_11,5cm Foamglas 058_REF",0.1243,X,,,X,20.01.2022,2369,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D24(19)_AW44-V-15KS(1,8)-160mm032_ACO Therm Block 140mm025_10cm Foamglas 052_REF",0.1346,X,,,X,21.09.2021,2282,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D24(19)_AW44-P-15PPW2-160mm032_ACO Therm Block 140mm025_11,5cm Foamglas 058_REF",0.1297,X,,,X,24.01.2022,2372,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm042-Stb-D24(19)_AW44-V-15PPW2-160mm032_ACO Therm Block 140mm025_5 cm Foamglas 058_REF,0.1777,X,,,X,25.02.2022,2395,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm042-Stb-D24(19)_AW44-V-15PPW6-160mm032_ACO Therm Block 140mm025_11,5cm Foamglas 058_REF",0.1230,X,,,X,08.12.2021,2346,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,AW30-Stb-200mm042-Stb-D32(19)_AW44-V-15PPW2-160mm032_ACO Therm Block 140mm025_10cm Foamglas 052_REF,0.1442,X,,,X,06.09.2021,2262,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm044-15PPW2-Stb-D24(19)_AW47,5-V-17,5PPW2-160mm032-F0,74_6cm Foamglas 052",0.2274,,,,X,25.08.2016,840,84543,Kirchner,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-200mm044-Stb-D18(19)_AW44-V-15PPW2-160mm032-F0,74-6cm-Foamglas 052",0.1855,,,,X,12.03.2016,586,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-240mm042-Stb-D18(19)_AW44-V-15PPW6-160mm032_ACO Therm Block 140mm025_11,5cm Foamglas 058_REF",0.1275,X,,,X,30.08.2023,2591,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW30-Stb-240mm042-Stb-D20(19)_AW44-P-15PPW6-160mm032_ACO Therm Block 140mm025_11,5cm Foamglas 058_REF",0.1321,X,,,X,10.07.2023,2579,,,light magenta 3,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW32-Stb-200mm037-Stb-D22(19)_AW44-P-15PPW2-160mm032-F0,86_6cm Foamglas 052_Ausgleichsstein PPW4",0.2091,,,,X,30.01.2019,1686,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW35-Stb-200mm037-Stb-D22(19)_AW44-P-15PPW2-160mm035-F0,86_6cm Foamglas 052_Ausgleichsstein PPW 4",0.2070,,,,X,23.01.2019,1679,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW36,5-PPW4-100mm036-Stb-D18(19)_AW44-P-15PPW2-160mm035_F0,74_Mauerwerkskeller",0.0917,,,,X,19.04.2018,1477,85670,Hellekes,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW36,5-PPW4-120mm036-Stb-D24(14)_AW44-V-15PPW2-160mm032_F0,74_OHNE Foamglas_Mauerwerkskeller",0.1228,,,,X,15.11.2016,952,85113,Am Paschberg,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW36,5-PPW4-120mm036-Stb-D24(14)_AW44-V-15PPW2-160mm032_Mauerwerkskeller",0.0918,,,,X,15.11.2016,952,,,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW36,5-Stb-200mm044-120mm042-Stb-D24(19)_AW44-V-15PPW2-160mm032_F0,74_6cm Foamglas 052",0.2355,,,,X,25.08.2016,840,84543,Kirchner,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW40,5-185 stb-140mm035-80mmStb-Stb-D18(19)_AW44-V-15PPW2-160mm035_F1,1",0.0651,,,,X,16.08.2016,838,,Glatthaarkeller,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW47,5-V-17,5PPW2-160mm032_Stb-D24(19)_AW46,5V-17,5PPW2-160mm 032_F0,79",0.2645,,,,X,25.08.2016,840,84543,Kirchner,,,
Sturz Fenster (ohne Rollladen),Kellergeschoss,"AW47,5-V-17,5PPW4-160mm032_Stb-D20(19)_AW44V-15PPW2-160mm 032_F0,73",0.2031,,,,X,16.08.2019,1822,87121,Engert,light yellow,,
,,Sturz Fenster (mit Rollladen),,,,,,,,,,,,
,,an Drempel (Satteldach),,,,,,,,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_REF,0.2347,X,,,X,25.05.2021,2180,,,light magenta 3,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,69",0.2501,,,,X,02.11.2020,2039,,,light green,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,71",0.2431,,,,X,15.11.2019,1896,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,73",0.2426,,,,X,27.04.2017,1165,,HST,light orange,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,73_Dach-240mm032",0.1745,,,,X,02.06.2017,1229,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,73_Dach-240mm032_Treppenöffnung",0.1257,,,,X,23.04.2018,1478,,,light orange 2,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,78_Dach-240mm032_HST",0.0141,,,,X,02.06.2017,1229,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,78_HST",0.0852,,,,X,22.06.2017,1257,,,light yellow 1,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,80_Dach-240mm032_HST_13cm Geschosserhöhung",-0.0030,,,,X,26.09.2016,900,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,80_HST",0.0862,,,,X,21.04.216,658,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,80_HST_13cm Geschosserhöhung",0.0625,,,,X,23.09.2016,898,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,92_HST",0.0776,,,,X,27.04.2017,1163,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F1,00",-0.2425,,,,x,13.03.2018,1455,,,light green 7,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm035_REF,0.2365,X,,,X,17.08.2021,2233,,,light magenta 3,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm035_F0,73",0.2632,,,,X,24.04.2017,1153,,,light orange,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm035_F0,73_Dach_Treppenöffnung",0.2372,,,,X,24.04.2017,1153,85369,Rohr,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm035_F0,73_Dach-240mm035",0.1786,,,,X,25.04.2017,1157,,,light orange,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm035_F0,73_Treppenöffnung",0.2463,,,,X,26.04.2017,1161,,,light orange,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm035_F0,75",0.2587,,,,X,08.06.2017,1235,,,light orange 2,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm035_F0,78_Dach-240mm035-HST",0.0206,,,,X,25.04.2017,1157,,,light yellow 1,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm035_F0,78_HST",0.0853,,,,X,24.04.2017,1153,,,light yellow 1,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm035_F0,80_HST_13cm Geschosserhöhung",0.0627,,,,X,19.08.216,846,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-240mm035_F0,92_HST",0.0777,,,,X,21.07.2017,1298,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-280mm032_F0,73",0.2450,,,,X,17.07.2017,1285,,,light orange 3,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-280mm032_F0,73-Treppenöffnung",0.2474,,,,X,17.07.2017,1285,,,light orange 2,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-280mm032_F0,79_28cm Geschosserhöhung",0.2376,,,,X,06.06.2016,751,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-280mm032_F0,80",0.3016,,,,X,03.11.2017,1350,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-280mm032_F0,80_Treppenöffnung",0.2635,,,,X,03.11.2017,1350,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),AW44-P-15PPW2-160mm032_Stb-D18-14_Drempel-280mm035_REF,0.2424,X,,,X,19.08.2021,2238,,,light magenta 3,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D20-14_Drempel-240mm032_F0,73_11cm Geschosserhöhung",0.2442,,,,X,01.06.2017,1225,,,light orange 2,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D20-14_Drempel-280mm032_F0,83_13cm Geschosserhöhung",0.2478,,,,X,18.05.2016,706,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),AW44-P-15PPW2-160mm032_Stb-D24-14_Drempel-280mm032_REF,0.2445,X,,,X,15.07.2021,2223,,,light magenta 3,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D24-14_Drempel-280mm032_F0,69",0.2600,,,,X,22.03.2021,2140,,,light cyan,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm032_Stb-D24-14_Drempel-280mm032_HST0,78",0.1001,,,,X,22.03.2021,2140,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm035_Stb-D18-14_Drempel-240mm032_F0,73_15cm Geschosserhöhung",0.2579,,,,X,16.10.2018,1609,,,light orange,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm035_Stb-D18-14_Drempel-240mm032_F0,73_Dach-240mm032_Treppenöffnung",0.0927,,,,X,01.11.2017,1349,,,light orange,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm035_Stb-D18-14_Drempel-240mm032_F0,78_15cm Geschosserhöhung_HST",0.1015,,,,X,16.10.2018,1609,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),AW44-P-15PPW2-160mm035_Stb-D18-14_Drempel-240mm035_REF,0.2353,X,,,X,25.08.2021,2252,,,light magenta 3,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm035_Stb-D18-14_Drempel-240mm035_F0,69",0.2507,,,,X,09.11.2020,2058,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm035_Stb-D18-14_Drempel-240mm035_F0,73",0.2620,,,,X,17.05.2017,1197,,,light orange,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm035_Stb-D18-14_Drempel-240mm035_F0,73_13cm Geschosserhöhung",0.2298,,,,X,11.04.2017,1140,,,light orange,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm035_Stb-D18-14_Drempel-240mm035_F0,73_Treppenöffnung",0.2227,,,,X,14.08.2017,1307,85298,Gaß,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm035_Stb-D18-14_Drempel-240mm035_F0,78_HST_13cm Geschosserhöhung",0.0606,,,,X,25.04.2017,1159,,,light orange,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm035_Stb-D18-14_Drempel-240mm035_F0,80_HST_13cm Geschosserhöhung",0.0616,,,,X,13.08.2016,836,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW2-160mm035_Stb-D20-14_Drempel-240mm035_F0,73",0.2556,,,,X,22.11.2017,1383,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),AW44-P-15PPW2-160mm035_Stb-D24-14_Drempel-240mm035_HST_REF,0.1533,X,,,X,20.02.2024,2640,,,light magenta 3,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW6-160mm032_Stb-D18-14_Drempel-240mm035_F0,73_Dach-240mm035",0.1714,,,,X,02.05.2017,1173,,,light orange,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-P-15PPW6-160mm032_Stb-D18-14_Drempel-280mm032_F0,78_HST",0.0837,,,,X,30.01.2019,1687,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),AW44-P-15PPW6-160mm032_Stb-D24-14_Drempel-240mm032_HST_REF,0.1461,X,,,X,27.10.2021,2315,,,light magenta 3,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),AW44-P-15PPW6-160mm032_Stb-D24-14_Drempel-280mm032_HST_REF,0.1524,X,,,X,23.11.2021,2338,,,light magenta 3,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),AW44-P-15PPW6-160mm032_Stb-D24-14_Drempel-280mm035_REF,0.2396,X,,,X,18.08.2021,2235,,,light magenta 3,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-V-15(KS1,4)-160mm032_Stb-D18-14_Drempel-240mm032_F0,78_Dach-240mm032_HST",0.0266,,,,X,19.05.2017,1204,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),AW44-V-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_REF,0.2281,X,,,X,25.05.2021,2180,,,light magenta 3,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),AW44-V-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_Treppenöffnung_REF,0.2133,X,,,X,14.06.2021,2199,,,light magenta 3,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-V-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,66",0.2421,,,,X,11.03.2021,2132,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-V-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,69",0.2434,,,,X,15.10.2020,2039,,,light green,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-V-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,71",0.2365,,,,X,10.12.2019,1909,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-V-15PPW2-160mm032_Stb D18-14_Drempel-360mm032_F0,73",0.2339,,,,X,14.03.2018,1456,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-V-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,73",0.2554,,,,X,20.04.2017,1147,,,light orange,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-V-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,73_Treppenöffnung",0.2177,,,,X,19.05.2017,1207,84923,Liedhegener,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-V-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,73_Dach-240mm032_Treppenöffnung",0.1637,,,,X,24.08.2017,1319,85087,Thien,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-V-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,75",0.2530,,,,X,10.09.2018,1568,,,light orange 3,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-V-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,75_Treppenöffnung",0.2365,,,,X,10.09.2018,1568,,,,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-V-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,78_HST",0.0999,,,,X,20.04.2017,1147,,,light yellow 1,,
Sturz Fenster (mit Rollladen),an Drempel (Satteldach),"AW44-V-15PPW2-160mm032_Stb-D18-14_Drempel-240mm032_F0,79",0.2543,,,,X,06.07.2016,799,,,,,
