Wärmebrücke,Zusatzinfo Wärmebrücke,Bezeichnung,Psi-Wert,mit Referenzbauteil,ebz,W&P,VHAG,Datum,Nr.,BV,Name,Farbe,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP18(19)-060mm035US+FS_ohne Foamglas +SD_Ausgleichsstein PPW4,0.0560,,,,X,20.12.2018,1661,,,light blue,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP18(19)-100mm036US+FS-100mm036_ohne Foamglas+ ohneSD,0.0940,,,,X,10.11.2017,1356,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP18(19)-120mm036US+FS-100mm036_ohne Foamglas+ ohneSD,0.0987,,,,X,01.06.2016,742,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP18(19)-200mm039US+FS-100mm036_ohne Foamglas+SD_Ausgleichsstein PPW4,0.1322,,,,X,06.06.2019,1789,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP18(19)-200mm039US+FS-100mm036_EH40_ohne Foamglas mit SD_Ausgleichsstein PPW4,0.1040,,,,X,08.02.2021,2110,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP20(19)-060mm035US_ohne Foamglas +ohne SD_Streifenfundament,0.0478,,,,X,24.04.2019,1762,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP20(19)-060mm035US_rel Länge ab OKRF_Ohne Foamglas+SD_Sockel mit Streifenfundament_(42cm Schalungsstein),-0.0030,,,,X,15.02.2024,2636,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP20(19)-060mm035US+FS-060mm035_ohne Foamglas + OHNE SD,0.0591,,,,X,03.08.2018,1542,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP20(19)-060mm035US+FS_EH40_ohne Foamglas + SD_Ausgleichsstein PPW4,0.0617,,,,X,31.05.2022,2430,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP20(19)-060mm035US+FS_EH40_ohne Foamglas mit SD_Ausgleichsstein PPW4,0.0280,,,,X,03.03.2020,1947,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP20(19)-100mm036US+FS-100mm036_ohne Foamglas+SD,0.0924,,,,X,08.02.2018,1444,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP20(19)-140mm039US_ohne Foamglas_ohne SD_Sockel mit Streifenfundament,0.0467,,,,X,11.03.2019,1727,85830,Link,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP20(19)-140mm039US_ohne Foamglas_ohne SD_Sockel mit Streifenfundament,0.1073,,,,X,11.03.2019,1727,85830,Link,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP20(19)-140mm039US+FS-100mm036_ohne Foamglas mit SD_Ausgleichsstein PPW4,0.0683,,,,X,12.05.2021,2172,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP20(19)-140mm041US+FS-100mm036_EH40_ohne Foamglas mit SD_Ausgleichsstein PPW4,0.0757,,,,X,27.03.2023,2555,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP20(19)-200mm037US+FS-100mm036_ohne Foamglas+SD,0.1424,,,,X,01.02.2018,1438,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP20(19)-200mm039US+FS-100mm036_EH40_ohne Foamglas mit SD_Ausgleichsstein PPW4,0.1087,,,,X,12.02.2021,2114,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP22(19)-060mm035US_ohne FS_ohne SD_ohne Foamglas,0.0654,,,,X,31.05.2018,1503,,,,,
